_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6980d254c89bd1e221d0dafc,,73.63,93.07,77.63,74.3,92;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770050132000
6980d242c89bd1e221d0d9ca,,64.84,91.01,64.84,66.6,81;0;0;0,time,15,-1,1,14.99,0,8.24,false,false,english,,normal,false,false,false,,1770050114000
6980d20cc89bd1e221d0d652,,52.82,88,52.82,35.31,66;0;0;0,time,15,-1,0,15,1,0,false,false,english,,normal,false,false,false,,1770050060000
6980b0f1c89bd1e221cedcde,,72.05,100,72.05,67.8,90;0;0;0,time,15,-1,1,14.99,0,1.89,false,false,english,,normal,false,false,false,,1770041585000
6980b0abc89bd1e221ced92a,,60.83,93.02,63.23,60.01,76;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770041515000
6980b040c89bd1e221ced2ed,,54.42,91.46,60.02,60.58,68;0;0;1,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770041408000
6980b02fc89bd1e221ced201,,56.84,93.42,56.84,55.93,71;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770041391000
6980b01ec89bd1e221ced124,,44.81,83.58,44.81,43.11,56;0;0;0,time,15,-1,1,15,0,16.11,false,false,english,,normal,false,false,false,,1770041374000
69809ae8c89bd1e221cdbf65,,56.19,88.58,59.19,60.56,281;7;1;0,time,60,-1,5,60.01,0,11.29,false,false,english,,normal,false,false,false,,1770035944000
6980717dc89bd1e221cc196e,,52.79,87.08,58.59,60.53,264;9;0;2,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1770025341000
69805e20c89bd1e221cb57ad,,59.21,89.74,62.61,68.61,296;4;1;0,time,60,-1,3,59.99,0,11.38,false,false,english,,normal,false,false,false,,1770020384000
69805daac89bd1e221cb53b0,true,56.2,88.55,61.1,65.49,562;17;1;3,time,120,-1,0,119.99,0,0,false,false,english,,normal,false,false,false,,1770020266000
69805d26c89bd1e221cb4eb9,,53.61,85.59,62.81,66.11,268;19;2;3,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1770020134000
69805ccfc89bd1e221cb4b82,,59.61,88.98,66.41,64.77,298;12;0;3,time,60,-1,3,59.99,0,17.45,false,false,english,,normal,false,false,false,,1770020047000
69805c28c89bd1e221cb4569,,62.2,92.46,64.41,68,311;3;0;0,time,60,-1,2,60,0,4.12,false,false,english,,normal,false,false,false,,1770019879000
69805bcec89bd1e221cb41d3,,56.82,92.31,56.82,66.18,71;0;0;0,time,15,-1,1,14.99,0,1.4,false,false,english,,normal,false,false,false,,1770019790000
69805bbac89bd1e221cb40f1,,60.83,91.67,62.43,67.53,76;1;0;0,time,15,-1,1,14.99,0,0.64,false,false,english,,normal,false,false,false,,1770019770000
69805ba7c89bd1e221cb401c,,42.42,77.78,46.42,66.67,53;2;0;1,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770019751000
69805b96c89bd1e221cb3f7d,,60.03,89.41,60.03,65.51,75;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1770019734000
69805b86c89bd1e221cb3eca,,76.03,95.1,78.44,82.03,95;0;1;0,time,15,-1,1,14.99,0,1.14,false,false,english,,normal,false,false,false,,1770019718000
697f78fec89bd1e221c439bf,,59.22,97.37,59.22,58.96,74;0;0;0,time,15,-1,2,15,0,3.5,false,false,english,,normal,false,false,false,,1769961726000
697f77b8c89bd1e221c42b30,,64.05,88.54,72.85,68.86,80;4;0;0,time,15,-1,1,14.99,0,0.58,false,false,english,,normal,false,false,false,,1769961400000
697f779ac89bd1e221c429fc,,76.02,96.94,76.02,65.62,95;0;0;0,time,15,-1,1,15,0,0.1,false,false,english,,normal,false,false,false,,1769961370000
697f777ac89bd1e221c428c4,,50.39,87.91,71.19,67.33,63;4;1;2,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1769961338000
697f7736c89bd1e221c425ef,,71.25,92.93,78.45,73.01,89;4;0;2,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769961270000
697f7725c89bd1e221c42537,,63.24,91.86,63.24,64.86,79;0;0;0,time,15,-1,5,14.99,0,18.45,false,false,english,,normal,false,false,false,,1769961253000
697f76efc89bd1e221c422e4,,59.61,91.59,65.21,65.72,298;8;0;0,time,60,-1,4,59.99,0,7.84,false,false,english,,normal,false,false,false,,1769961199000
